treemap,scenario,etage_1,etage_2,etage_3,case,contribution,explication
Jeu de société,Ressources minérales et métalliques,Format moyen,Production des éléments en papier et carton,Production de la boîte du jeu,0.000001190000000,par étape de cycle de vie,Les métaux et minéraux sont nécessaires pour fabriquer les machines pour produire le papier et le carton.
Jeu de société,Ressources minérales et métalliques,Format moyen,Production des éléments en bois,Production des pions,0.000000100000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Format moyen,Production des éléments en bois,Production des dés,0.000000225000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Format moyen,Production des éléments en papier et carton,Production des cartes,0.000000853000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Format moyen,Production des éléments en plastique,Production des emballages des cartes,0.000000000311000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Format moyen,Production des éléments en papier et carton,Production du punchboard (plateau en carton),0.000000936000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Format moyen,Production des éléments en papier et carton,Production des règles du jeu,0.000000185000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Format moyen,Production des éléments en plastique,Production des emballages de la boîte du jeu,0.000000001860000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Format moyen,Transport du jeu,Transport de la Chine à la Suisse,0.000000214000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en papier et carton,Production de la boîte du jeu,0.000002635000000,par étape de cycle de vie,"Il y a un corrélation entre l'impact environnemental d'un jeu et la taille de sa boîte. Plus la boîte est grande, plus elle a de l'impact sur l'environnement."
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en papier et carton,Production du plateau de jeu,0.000003441000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en bois,Production des pions,0.000000199900000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en bois,Production des dés,0.000000225500000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en papier et carton,Production des cartes,0.000000953900000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en plastique,Production des emballages des cartes,0.000000000311400,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en plastique,Production des figurines,0.000000037790000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en papier et carton,Production du punchboard (plateau en carton),0.000004531000000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en papier et carton,Production des règles du jeu,0.000000672900000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Production des éléments en plastique,Production des emballages de la boîte du jeu,0.000000004095000,par étape de cycle de vie,
Jeu de société,Ressources minérales et métalliques,Grand format,Transport du jeu,Transport de la Chine à la Suisse,0.000000785300000,par étape de cycle de vie,
Jeu de société,Particules fines,Petit format,Production des éléments en papier et carton,Production de la boîte du jeu,0.000000013900000,par étape de cycle de vie,"Pour diminuer ton impact sur l'environnement, choisi des jeux moins gourmands en ressources. Ton porte-monnaie sera aussi content !"
Jeu de société,Particules fines,Petit format,Production des éléments en papier et carton,Production des cartes,0.000000041900000,par étape de cycle de vie,
Jeu de société,Particules fines,Petit format,Production des éléments en plastique,Production des emballages des cartes,0.000000000033400,par étape de cycle de vie,
Jeu de société,Particules fines,Petit format,Production des éléments en papier et carton,Production du punchboard (plateau en carton),0.000000003530000,par étape de cycle de vie,
Jeu de société,Particules fines,Petit format,Production des éléments en papier et carton,Production des règles du jeu,0.000000003240000,par étape de cycle de vie,
Jeu de société,Particules fines,Petit format,Production des éléments en plastique,Production des emballages de la boîte du jeu,0.000000000090800,par étape de cycle de vie,
Jeu de société,Particules fines,Petit format,Transport du jeu,Transport de la Chine à la Suisse,0.000000003890000,par étape de cycle de vie,
Jeu de société,Particules fines,Format moyen,Production des éléments en papier et carton,Production de la boîte du jeu,0.000000029500000,par étape de cycle de vie,On peut aussi noter qu'un jeu entièrement fabriqué en plastique pollue plus qu'un jeu entièrement fait de papier et de carton.
Jeu de société,Particules fines,Format moyen,Production des éléments en bois,Production des pions,0.000000001380000,par étape de cycle de vie,
Jeu de société,Particules fines,Format moyen,Production des éléments en bois,Production des dés,0.000000002770000,par étape de cycle de vie,
Jeu de société,Particules fines,Format moyen,Production des éléments en papier et carton,Production des cartes,0.000000041900000,par étape de cycle de vie,
